Name,Platform,DOIs,"Pub Dates",Citations,Code,Description,License,Categories
scMAGIC,R,10.1093/nar/gkab1275,2022-01-05,14,https://github.com/TianLab-Bioinfo/scMAGIC,"scMAGIC (Single Cell annotation using MArker Genes Identification and two rounds of reference-based Classification(RBC)) is a novel single-cell classification tool using well-annotated bulk or single-cell RNA-seq data as the reference",GPL-3.0,Classification
scREhurdle,R/Stan/C++,10.1111/biom.13074,2019-06-17,14,https://github.com/mnsekula/scREhurdle,"scREhurdle is an R package for detecting differentially expressed genes in discrete single-cell RNA sequencing data",GPL-3.0-or-later,"Differential Expression"
scvr,Python,"10.1101/2020.07.30.229534, 10.3389/fgene.2021.764170","NA, 2021-10-28",14,https://github.com/pinellolab/singlecellvr,"Tool for preparing scRNA-seq datasets to be viewed using Single Cell VR https://singlecellvr.com/",'-,Visualisation
signac,R/C++,10.1101/2020.11.16.384479,NA,14,https://github.com/bioturing/signac,"A versatile R package to facilitate the analysis workflow for single-cell data",Custom,"Differential Expression, Expression Patterns, Marker Genes"
SparseDC,R,10.1093/nar/gkx1113,2017-11-13,14,https://github.com/cran/SparseDC,"A sparse differential clustering algorithm for tracing cell type changes via single-cell RNA-sequencing data",GPL-3.0,"Clustering, Marker Genes"
Specter,MATLAB,"10.1101/2020.06.15.151910, 10.1101/gr.267906.120","NA, 2021-02-24",14,https://github.com/canzarlab/Specter,"A novel tool for clustering large-scale single cell RNA-seq and multi-modal data",'-,Clustering
SwarnSeq,R,10.1016/j.ygeno.2021.02.014,2021-05,14,https://github.com/sam-uofl/SwarnSeq,"This R package performs Differential Expression, and Differential Zero Inflation analysis of Single-Cell RNA-seq (scRNA-seq) data",GPL-3.0,"Differential Expression"
UniPath,R,"10.1093/nar/gkaa1138, 10.1101/864389","2020-12-04, NA",14,https://github.com/reggenlab/UniPath,"UniPath provides robust statistical methods to represent every single cell using pathway and gene-set enrichment scores.",GPL-2.0-or-later,"Clustering, Gene Sets, Imputation, Ordering"
AWGAN,Python,"10.1093/bioinformatics/btac427, 10.1101/2021.11.08.467781","2022-06-30, NA",13,https://github.com/HelloWorldLTY/AWGAN,"A Powerful Batch Effect Removal Model for scRNA-seq Data",MIT,Integration
BDA,R,"10.1093/nargab/lqab118, 10.1101/2021.02.01.429187","2021-10-04, NA",13,https://github.com/gbouland/BDA,"Differential analysis of binarized single-cell RNA sequencing data captures biological variation",GPL-3.0,"Differential Expression"
ClusterDE,R,"10.1101/2023.07.21.550107, 10.21203/rs.3.rs-3211191/v1","NA, NA",13,https://github.com/SONGDONGYUAN1994/ClusterDE,"A Post-clustering Differential Expression (DE) Method For Solving Double Dipping",MIT,"Differential Expression, Marker Genes"
COTAN,R,10.1093/nargab/lqab072,2021-08-11,13,https://github.com/seriph78/COTAN,"A statistical and computational method to analyze the co-expression of gene pairs at single cell level, providing the foundation for single-cell gene interactome analysis",GPL-3.0,"Gene Filtering, Gene Networks, Visualisation"
coupleCoC,MATLAB,"10.1093/bib/bbaa347, 10.1101/2020.03.28.013938","2020-12-07, NA",13,https://github.com/cuhklinlab/coupleCoC,"A coupled co-clustering-based unsupervised transfer learning algorithm (coupleCoC) for the integrative analysis of multimodal single-cell data",'-,"Clustering, Integration"
EmptyNN,R,"10.1016/j.patter.2021.100311, 10.1101/2021.01.15.426387","2021-07, NA",13,https://github.com/lkmklsmn/empty_nn,"EmptyNN is a novel cell-calling algorithm based on Positive-unlabeled (PU) learning which removes cell-free droplets and recovers lost cells in droplet-based single cell RNA sequencing data",'-,"Quality Control"
ENCORE,R,10.1093/nar/gkaa1157,2020-12-10,13,https://github.com/SONG0417/ENCORE_V1.0,"ENtropy subspace separation-based Clustering for nOise REduction (ENCORE)",GPL-3.0,"Clustering, Marker Genes"
Neighbor-seq,R,"10.1093/nar/gkac333, 10.1101/2022.04.15.488517","2022-05-10, NA",13,https://github.com/sjdlabgroup/Neighborseq,"Neighbor-seq is an R package designed to infer the architecture of direct cell-cell interactions from standard single-cell RNA sequencing (scRNA-seq) data",'-,"Gene Networks, Visualisation"
SampleQC,R/C++,"10.1101/2021.08.28.458012, 10.1186/s13059-023-02859-3","NA, 2023-02-10",13,https://github.com/wmacnair/sampleqc,"SampleQC is an R package for robust multivariate, multi-celltype, multi-sample quality control for single cell RNA-seq",MIT,"Quality Control, Simulation, Visualisation"
scDBM,Julia,"10.1038/s41598-021-88875-4, 10.1101/2020.05.27.119594","2021-04-30, NA",13,https://github.com/MTreppner/scDBM.jl,"Synthetic Single-Cell RNA-Sequencing Data from Small Pilot Studies using Deep Generative Models",MIT,Simulation
scDEA,R,10.1093/bib/bbab402,2021-09-25,13,https://github.com/Zhangxf-ccnu/scDEA,"Applies ensemble learning for single-cell differential expression analysis on single-cell RNA-seq dataset",GPL-2.0-or-later,"Differential Expression"
scMiko,R,"10.1038/s42003-022-04093-2, 10.1101/2022.03.13.484162, 10.21203/rs.3.rs-1555516/v1","2022-10-28, NA, NA",13,https://github.com/NMikolajewicz/scMiko,"scMiko is an R package developed for single-cell RNA-seq analysis. It was designed using the Seurat framework, and offers existing and novel single-cell analytic work flows.",MIT,"Classification, Clustering, Differential Expression, Dimensionality Reduction, Gene Sets, Integration, Marker Genes, Normalisation, Visualisation"
SCOUT,Python,10.1016/j.compbiolchem.2019.03.013,2019-06,13,https://github.com/statway/SCOUT,"Inference of single-cell pseudo-time ordering with bifurcation trajectories",'-,Ordering
scPopCorn,Python,"10.1016/j.cels.2019.05.007, 10.1101/485979","2019-06, NA",13,https://github.com/ncbi/scPopCorn,"A python tool to do comparative analysis of mulitple single cell RNA-seq datasets.",GPL-3.0,"Clustering, Integration, Normalisation, Variable Genes, Visualisation"
scVirtualCyto,Javascript,"10.1093/nargab/lqaa025, 10.1101/843946","2020-04-20, NA",13,https://github.com/FredPont/single-cell-virtual-cytometer,"Single-Cell Virtual Cytometer is an open source software for straightforward visualization and exploration of multimodal single cell datasets as in flow cytometry.",AGPL-3.0,"Interactive, Visualisation"
TCM,R,10.1038/s41467-018-05112-9,2018-07-16,13,https://github.com/gongx030/tcm,"TCM is an R package for visualizing temporal single cell RNA-seq data",MIT,"Dimensionality Reduction, Visualisation"
Tempo,Python,"10.1038/s41467-022-34185-w, 10.1101/2022.03.15.484454","2022-11-02, NA",13,https://github.com/bauerbach95/tempo,"A Bayesian Algorithm for Circadian Phase Inference in Single-Cell RNA-Sequencing Data",MIT,"Cell Cycle"
TraSig,Python,"10.1101/2021.07.28.454054, 10.1186/s13059-022-02629-7","NA, 2022-03-07",13,https://github.com/doraadong/TraSig,"TraSig (Trajectory-based Signalling genes inference) identifies interacting cell types pairs and significant ligand-receptors based on the expression of genes as well as the pseudo-time ordering of cells",MIT,"Gene Networks"
acorde,R,"10.1038/s41467-022-29497-w, 10.1101/2021.05.07.441841","2022-04-05, NA",12,https://github.com/ConesaLab/acorde,"Isoform co-usage networks from single-cell RNA-seq data",GPL-3.0,"Alternative Splicing, Differential Expression, Visualisation"
baredSC,Python,"10.1101/2021.05.26.445740, 10.1186/s12859-021-04507-8","NA, 2022-01-12",12,https://github.com/lldelisle/baredSC,"baredSC (Bayesian Approach to Retreive Expression Distribution of Single Cell) is a tool that uses a Monte-Carlo Markov Chain to estimate a confidence interval on the probability density function (PDF) of expression of one or two genes from single-cell RNA-seq data",GPL-3.0,"Quantification, Visualisation"
ClustAssess,R/C++,10.1101/2022.01.31.478592,NA,12,https://github.com/Core-Bioinformatics/ClustAssess,"Provides a set of tools for evaluating clustering robustness",MIT,"Clustering, Visualisation"
CommPath,R,10.1016/j.csbj.2022.10.028,2022-10,12,https://github.com/yingyonghui/CommPath,"CommPath is an R package for inference and analysis of ligand-receptor interactions from single cell RNA sequencing data",GPL-3.0,"Gene Networks, Visualisation"
Cytopath,Python,"10.1016/j.crmeth.2022.100359, 10.1101/2020.12.21.423801","2022-12, NA",12,https://github.com/aron0093/cytopath,"Simulation based inference of differentiation trajectories from RNA velocity fields",BSD-3-Clause,"Ordering, Visualisation"
DCLEAR,R/C++,10.1186/s12859-022-04633-x,2022-03-24,12,https://github.com/ikwak2/DCLEAR,"DCLEAR is an R package for Distance based Cell LinEAge Reconstruction(DCLEAR)",GPL-3.0,"Ordering, Simulation"
de-goulash,Snakemake,10.1038/s42003-023-04557-z,2023-02-20,12,https://github.com/genid/de-goulash,"de-goulash is a bioinformatics pipeline build in Snakemake which allows clustering mixed individuals using 10x single-cell RNA-seq",'-,Variants
DeepCCI,Python/R,"10.1093/bioinformatics/btad596, 10.1101/2022.11.11.516061","2023-09-23, NA",12,https://github.com/JiangBioLab/DeepCCI,"DeepCCI is a graph convolutional network (GCN)-based deep learning framework for Cell-Cell Interactions inference from scRNA-seq data",MIT,"Clustering, Gene Networks, Visualisation"
DREEP,C++/R,"10.1101/2023.06.01.543212, 10.1186/s12916-023-03182-1","NA, 2023-12-01",12,https://github.com/gambalab/DREEP,"DREEP is a bioinformatics tool that leverages results from large-scale cell-line viability screens and enrichment analysis to predict drug vulnerability from the transcriptional state of a cell",MIT,"Clustering, Perturbations"
DTWScore,R,10.1186/s12859-017-1647-3,2017-05-23,12,https://github.com/xiaoxiaoxier/DTWscore,"Transcriptional heterogeneity analysis for time-series single-cell RNA-seq data",'-,"Differential Expression, Ordering, Variable Genes"
GPseudoRank,MATLAB,"10.1093/bioinformatics/bty664, 10.1101/211417","2018-07-25, NA",12,https://github.com/magStra/GPseudoRank,"GPseudoRank, an algorithm sampling from a posterior distribution of pseudo-orders instead of pseudotimes, avoiding the exploration of pseudotime assignments that all map to the same ordering.",LGPL-3.0,Ordering
ImmClassifier,R/Python,"10.1093/bib/bbab039, 10.1101/2020.03.23.002758","2021-03-03, NA",12,https://github.com/xliu-uth/ImmClassifier,"Knowledge-based and lineage-driven immune cell classification in single-cell RNA-Seq data",GPL-3.0,"Classification, Immune"
k-branches,R,"10.1093/bioinformatics/btx325, 10.1101/094532","2017-06-05, NA",12,https://github.com/theislab/kbranches,"The main idea behind the K-Branches method is to identify regions of interest (branching regions and tips) in differentiation trajectories of single cells.",GPL-3.0,Ordering
MarkerCount,Python,"10.1016/j.csbj.2022.06.010, 10.21203/rs.3.rs-418249/v1","2022-06, NA",12,https://github.com/combio-dku/MarkerCount,"MarkerCount: A stable, count-based cell type identifier for single cell RNA-Seq experiments",MIT,Classification
MetaTiME,Python,"10.1038/s41467-023-38333-8, 10.1101/2022.08.05.502989","2023-05-06, NA",12,https://github.com/yi-zhang/MetaTiME,"MetaTiME learns data-driven, interpretable, and reproducible gene programs by integrating millions of single cells from hundreds of tumor scRNA-seq data",GPL-3.0,"Dimensionality Reduction, Gene Sets, Integration"
mmutil,C++,"10.1101/2021.01.21.21249765, 10.1186/s13059-021-02438-4","NA, 2021-08-17",12,https://github.com/ypark/mmutil,"Lightweight single-cell data analysis by Matrix Market Utility",MIT,"Clustering, Dimensionality Reduction, Gene Filtering, Integration, Quality Control, Simulation"
RgCop,R,"10.1101/2020.12.23.424205, 10.1371/journal.pcbi.1009464","NA, 2021-10-19",12,https://github.com/Snehalikalall/RgCop,"Regularized Copula based Feature Selection",'-,"Variable Genes"
ROSeq,MATLAB,"10.1101/374025, 10.1101/gr.267070.120","NA, 2021-03-05",12,https://github.com/malaalam/ROSeq,"ROSeq evaluates differential expression between two subpopulations of single cells by modeling the rank distribution of read counts for each gene",'-,"Differential Expression"
ROSeq-R,R,"10.1101/374025, 10.1101/gr.267070.120","NA, 2021-03-05",12,https://github.com/krishan57gupta/ROSeq,"Modeling expression ranks for noise-tolerant differential expression analysis of scRNA-Seq data",GPL-3.0,"Differential Expression"
SC3s,Python,"10.1101/2021.05.20.445027, 10.1186/s12859-022-05085-z","NA, 2022-12-12",12,https://github.com/hemberg-lab/sc3s,"Efficient scaling of single cell consensus clustering to millions of cells",GPL-3.0,Clustering
scAmpi,Snakemake,"10.1101/2021.03.25.437054, 10.1371/journal.pcbi.1010097","NA, 2022-06-03",12,https://github.com/ETH-NEXUS/scAmpi_single_cell_RNA,"scAmpi includes general scRNA processing steps, such as mapping, QC, normalisation, unsupervised clustering, cell type classification, and DE analysis, as well as search for disease relevant target genes",GPL-3.0,"Alignment, Classification, Clustering, Differential Expression, Normalisation, Quality Control, Quantification"
scAR,Python,10.1101/2022.01.14.476312,NA,12,https://github.com/CaibinSh/scAR,"scAR (single cell Ambient Remover) is a package for denoising multiple single cell omics data",MIT,"Dimensionality Reduction, Quantification"
Scedar,Python,"10.1101/375196, 10.1371/journal.pcbi.1007794","NA, 2020-04-27",12,https://github.com/TaylorResearchLab/scedar,"Scedar (Single-cell exploratory data analysis for RNA-Seq) is a reliable and easy-to-use Python package for efficient visualization, imputation of gene dropouts, detection of rare transcriptomic profiles, and clustering of large-scale single cell RNA-seq (scRNA-seq) datasets.",MIT,"Clustering, Dimensionality Reduction, Imputation, Marker Genes, Rare Cells, Visualisation"
scEFSC,R/Python,10.1016/j.csbj.2022.04.023,2022-04,12,https://github.com/Conan-Bian/scEFSC,"Accurate single-cell RNA-seq data analysis via ensemble consensus clustering based on multiple feature selections",LPL-1.0,Clustering
scfind,R/C++,"10.1038/s41592-021-01076-9, 10.1101/788596","2021-03-01, NA",12,https://github.com/hemberg-lab/scfind,"scfind - Fast searches of large collections of single cell data",GPL-3.0,"Classification, Interactive, Marker Genes"
SCHNAPPs,R,"10.1016/j.jim.2021.113176, 10.1101/2020.06.07.127274","2021-12, NA",12,https://github.com/C3BI-pasteur-fr/UTechSCB-SCHNAPPs,"Shiny app for the exploration and analysis of single cell RNAseq data as it comes from 10X or MARSseq technologies.",GPL-3.0,"Differential Expression, Dimensionality Reduction, Interactive, Quality Control, Visualisation"
scMayoMap,R,"10.1101/2023.05.03.538463, 10.1186/s12915-023-01728-6","NA, 2023-10-20",12,https://github.com/chloelulu/scMayoMap,"The goal of scMayoMap is to annotate cell clusters for single cell data",MIT,"Classification, Visualisation"
scPretrain,Python,"10.1093/bioinformatics/btac007, 10.1101/2020.11.18.386102","2022-01-06, NA",12,https://github.com/ruiyi-zhang/scPretrain,"Multi-task self-supervised learning for cell type classification",MIT,Classification
scQuint,Python,"10.1101/2021.04.27.441683, 10.7554/elife.73520","NA, 2022-03-01",12,https://github.com/songlab-cal/scquint,"scQuint (single-cell quantification of introns), can perform accurate quantification, dimensionality reduction, and differential splicing analysis using short-read, full-length single-cell RNA-seq data",MIT,"Alignment, Alternative Splicing, Dimensionality Reduction, Quantification"
scTIM,Python,10.1093/bioinformatics/btz936,2019-12-17,12,https://github.com/Frank-Orwell/scTIM,"Seeking Cell-Type-Indicative Marker from single cell RNA-seq data by consensus optimization",'-,"Marker Genes"
SEVtras,Python,10.1038/s41592-023-02117-1,2023-12-04,12,https://github.com/bioinfo-biols/SEVtras,"SEVtras delineates small extracellular vesicles at droplet resolution from single-cell transcriptomes",AGPL-3.0,"Gene Sets, Quantification"
SigHotSpotter,R,10.1093/bioinformatics/btz827,2019-11-07,12,https://gitlab.com/srikanth.ravichandran/sighotspotter,"A computational tool to predict hotspots of signaling pathways responsible for the stable maintenance of cell subpopulation phenotypes, by integrating signaling and transcriptional networks.",AGPL-3.0,"Gene Networks, Gene Sets, Interactive, Visualisation"
SinCHet,MATLAB,10.1093/bioinformatics/btx297,2017-05-04,12,http://labpages2.moffitt.org/chen/software,"a MATLAB GUI toolbox for Single Cell Heterogeneity analysis in cancer",'-,"Clustering, Interactive, Visualisation"
TITAN,R,10.1093/nar/gkac908,2022-11-01,12,https://github.com/ohsu-cedar-comp-hub/TITAN,"TITAN (Topic Inference of Transcriptionally Associated Networks), an unsupervised Bayesian topic modelling based approach utilizing Latent Dirichlet Allocation (LDA)",GPL-3.0,"Dimensionality Reduction, Gene Sets, Imputation, Marker Genes, Normalisation, Visualisation"
Triangulate,R,10.1093/gigascience/giaa113,2020-10-30,12,https://github.com/SchulzLab/Triangulate,"Triangulate provides a platform for linking regulatory elements to gene expression in single cells",MIT,"Gene Networks"
UniverSC,Shell/Perl/R,"10.1038/s41467-022-34681-z, 10.1101/2021.01.19.427209","2022-11-11, NA",12,https://github.com/minoda-lab/universc,"UniverSC is a universal single-cell processing tool that supports any UMI-based platform",GPL-3.0,"Alignment, Quantification, UMIs"
BC_tSNE,R/C,10.1093/bioinformatics/btaa189,2020-03-16,11,https://github.com/emanuelealiverti/BC_tSNE,"Projected t-SNE for Batch Correction",GPL-3.0,"Dimensionality Reduction, Integration"
BingleSeq,R,"10.1101/2020.06.16.148239, 10.7717/peerj.10469","NA, 2020-12-22",11,https://github.com/dbdimitrov/BingleSeq,"A user-friendly R package for Bulk and Single-cell RNA-Seq data analyses",MIT,"Clustering, Differential Expression, Gene Sets, Interactive, Normalisation, Quality Control, Visualisation"
biolord,Python,"10.1038/s41587-023-02079-x, 10.1101/2023.03.05.531195","2024-01-15, NA",11,https://github.com/nitzanlab/biolord,"A deep generative framework for disentangling known and unknown attributes in single-cell data",BSD-3-Clause,"Dimensionality Reduction, Integration"
CellView,R,10.1101/123810,NA,11,https://github.com/mohanbolisetty/CellView,"A ShinyApp to visualize and explore single cell datasets",MIT,"Interactive, Visualisation"
CONGAS,Python,"10.1093/bioinformatics/btac143, 10.1101/2021.02.02.429335","2022-03-17, NA",11,https://github.com/caravagnalab/congas,"A set of Pyro models and functions to infer CNA from scRNA-seq data",GPL-3.0,Variants
CSHMM-TF,Python,10.1371/journal.pcbi.1007644,2020-02-18,11,https://github.com/jessica1338/CSHMM-TF-for-time-series-scRNA-Seq,"Continuous-State Hidden Markov Models TF (CSHMM-TF) method which integrates probabilistic modeling of scRNA-Seq data with the ability to assign TFs to specific activation points in the learned model",'-,"Expression Patterns, Gene Networks, Ordering, Visualisation"
DrivAER,Python,"10.1093/gigascience/giaa122, 10.1101/864165","2020-12-10, NA",11,https://github.com/lkmklsmn/DrivAER,"DrivAER: Identification of Driving transcriptional programs using AutoEncoder based Relevance scores",MIT,"Dimensionality Reduction, Gene Sets, Visualisation"
dynDeepDRIM,Python,"10.1093/bib/bbac424, 10.1101/2021.08.28.458048","2022-09-27, NA",11,https://github.com/ericcombiolab/dynDeepDRIM,"A dynamic deep learning model to infer direct regulatory interactions using single cell time-course gene expression data",'-,"Gene Networks"
fastTopics,R/C++/C,"10.1101/2023.03.03.531029, 10.1186/s13059-023-03067-9","NA, 2023-10-19",11,https://github.com/stephenslab/fastTopics,"fastTopics is an R package implementing fast, scalable optimization algorithms for fitting topic models and non-negative matrix factorizations to count data",BSD-2-Clause,"Dimensionality Reduction, Simulation, Visualisation"
fba,Python,10.1093/bioinformatics/btab375,2021-05-17,11,https://github.com/jlduan/fba,"A flexible and streamlined package to perform quality control, quantification, demultiplexing, multiplet detection, clustering, and visualization of feature barcoding assays",MIT,"Alignment, Quality Control, Quantification"
FRmatch,R,"10.1093/bib/bbaa339, 10.1101/2020.05.01.073445","2020-11-30, NA",11,https://github.com/JCVenterInstitute/FRmatch,"Cluster-to-cluster Mapping of Single Cell RNA Sequencing (scRNA-seq) Data Clusters by Friedman-Rafsky (FR) Test",MIT,"Classification, Interactive, Visualisation"
HDMC,Python,10.1093/bioinformatics/btab821,2021-12-04,11,https://github.com/zhanglabNKU/HDMC,"A novel deep learning based framework for batch effect removal in scRNA-seq data",'-,Integration
ISnorm,R,"10.1093/nargab/lqaa059, 10.1101/2020.07.10.198077","2020-08-18, NA",11,https://github.com/bioliyezhang/ISnorm,"Normalize single cell sequencing data through a set of constantly expressed genes across all cells",GPL-3.0,Normalisation
MicroCellClust,Scala/R,10.1093/bioinformatics/btab239,2021-04-08,11,https://github.com/agerniers/MicroCellClust,"Designed to search for rare cell-clusters (typically less than 10% of the number of cells) that present a highly specific gene expression in scRNA-seq data",GPL-3.0,"Clustering, Gene Filtering, Rare Cells"
MRFscRNAseq,R,"10.1101/2020.11.11.378976, 10.1186/s12859-021-04412-0","NA, 2021-10-26",11,https://github.com/eddiehli/MRFscRNAseq,"A Markov Random Field Model for Network-based Differential Expression Analysis of Single-cell RNA-seq Data",'-,"Differential Expression"
Psix,Python,"10.1101/2021.07.23.453605, 10.1101/gr.276109.121","NA, 2022-07",11,https://github.com/lareaulab/Psix,"Psix is a computational tool for identifying cell-state associated alternative splicing events in single cell RNA-seq (scRNA-seq) data",'-,"Alternative Splicing, Visualisation"
pyNVR,Python,10.1093/bioinformatics/bty950,2018-11-16,11,https://github.com/KenLauLab/NVR,"Python implementation of NVR (neighborhood variance ratio) gene selection to select genes with local and monotonic variation",GPL-2.0,"Variable Genes"
quasildr,Python,"10.1038/s41592-021-01286-1, 10.1101/2020.04.12.022806","2021-11, NA",11,https://github.com/jzthree/quasildr,"Quasildr is a python library for quasilinear data representation methods",BSD-3-Clause-Clear,"Dimensionality Reduction, Ordering"
RGGC,MATLAB,10.3390/genes12020311,2021-02-22,11,https://github.com/zliu3/RGGC,"Regularized Gaussian Graphical Clustering",'-,Clustering
scAAnet,Python,"10.1101/2021.09.17.460824, 10.1371/journal.pcbi.1010025","NA, 2022-04-01",11,https://github.com/AprilYuge/scAAnet_latest,"Decompose an expression profile into a usage matrix and a GEP/archetype matrix",MIT,"Clustering, Marker Genes, Visualisation"
SCAFE,Perl/R,"10.1093/bioinformatics/btac644, 10.1101/2021.04.04.438388","2022-09-29, NA",11,https://github.com/chung-lab/scafe,"SCAFE (Single Cell Analysis of Five-prime Ends) provides an end-to-end solution for processing of single cell 5’ end RNA-seq data",MIT,"Alternative Splicing, Quantification"
scasa,R/Perl,10.1093/bioinformatics/btab807,2021-12-02,11,https://github.com/eudoraleer/scasa,"Scasa is a single cell transcript quantification tool tailored for single cell RNA-Sequencing data",GPL-3.0,"Alignment, Alternative Splicing, Quantification"
schex,R,10.1093/bioinformatics/btz907,2019-12-03,11,https://github.com/saskiafreytag/schex,"The goal of schex is to provide easy plotting of hexagon cell representations of single cell data stored in SingleCellExperiment or Seurat objects",GPL-3.0,Visualisation
SCING,Python,"10.1016/j.isci.2023.107124, 10.1101/2022.09.07.506959","2023-07, NA",11,https://github.com/XiaYangLabOrg/SCING,"SCING: Single Cell INtegrative Gene regulatory network inference elucidates robust, interpretable gene regulatory networks",GPL-3.0,"Dimensionality Reduction, Gene Networks, Gene Sets, Perturbations"
scISR,R,10.1038/s41598-022-06500-4,2022-02-17,11,https://github.com/duct317/scISR,"scISR performs imputation for single-cell sequencing data",LPL-1.0,Imputation
SCISSORS,R,"10.1093/bioinformatics/btad449, 10.1101/2021.10.29.466448","2023-07-27, NA",11,https://github.com/jr-leary7/SCISSORS,"This package allows the reclustering of single cell clusters based on the identification of the highly variable genes that are unique to each cluster",MIT,"Clustering, Dimensionality Reduction, Marker Genes"
scKINETICS,Python,10.1093/bioinformatics/btad267,2023-06-30,11,https://github.com/dpeerlab/scKINETICS,"A dynamical model of gene expression change which is fit with the simultaneous learning of per-cell transcriptional velocities and a governing gene regulatory network",'-,Ordering
scMEGA,R/C++,"10.1093/bioadv/vbad003, 10.1101/2022.08.10.503335","2023-01-01, NA",11,https://github.com/CostaLab/scMEGA,"Single-cell Multiomic Enhancer-based Gene Regulatory Network Inference",MIT,"Dimensionality Reduction, Gene Networks, Ordering, Variable Genes, Visualisation"
scMOO,R,10.1093/bioinformatics/btac300,2022-04-29,11,https://github.com/Zhangxf-ccnu/scMOO,"Accurate gene expression recovery for single-cell RNA sequencing via multi-objective optimization",GPL-2.0,Imputation
scPlant,R,"10.1016/j.xplc.2023.100631, 10.1101/2022.10.24.513543","2023-05, NA",11,https://github.com/compbioNJU/scPlant,"scPlant: a versatile framework for single-cell transcriptomic data analysis in plants",GPL-3.0-or-later,"Classification, Gene Sets, Ordering, Visualisation"
scSemiAE,Python,"10.1186/s12859-022-04703-0, 10.21203/rs.3.rs-1037942/v1","2022-05-05, NA",11,https://github.com/PlusoneD/scSemiAE,"Transfers the information contained in available datasets with cell subpopulation labels to guide the search of better low-dimensional representations",'-,"Dimensionality Reduction, Integration"
scShaper,R/C++,"10.1093/bioinformatics/btab831, 10.1101/2021.05.03.442435","2021-12-09, NA",11,https://github.com/elolab/scshaper,"A tool for linear trajectory inference from single-cell RNA-seq data through discrete pseudotime estimation using Shortest HAmiltonian path PERmuted clustering",GPL-3.0,"Clustering, Dimensionality Reduction, Ordering"
scsnv,C++/Python,10.1186/s13059-021-02364-5,2021-05-07,11,https://github.com/GWW/scsnv,"scSNV is an alternative to Cell Ranger + velocyto for the alignment, quantification and SNV calling of 10X Single Cell RNA-seq data",MIT,"Alignment, Quantification, Variants"
Sharq,Python/Perl/R,10.1101/250811,NA,11,https://bitbucket.org/princessmaximacenter/Sharq,"A versatile preprocessing pipeline designed to work with plate-based 3'-end protocols that include Unique Molecular Identifiers (UMIs)",'-,"Alignment, Quality Control, Quantification, UMIs, Visualisation"
sleepwalk,R,"10.1101/603589, 10.1101/gr.251447.119","NA, 2020-05-19",11,https://github.com/anders-biostat/sleepwalk,"Sleepwalk, a simple but powerful tool that allows the user to interactively explore an embedding",GPL-3.0,"Dimensionality Reduction, Visualisation"
TAR-scRNA-seq,Snakemake,"10.1038/s41467-021-22496-3, 10.1101/2020.07.31.229575","2021-04-12, NA",11,https://github.com/fw262/TAR-scRNA-seq,"TAR-scRNA-seq (Transcriptionally Active Region single-cell RNA-seq) is a workflow that enables the discovery of transcripts beyond those listed in gene annotations in scRNA-seq analysis",GPL-3.0,"Alignment, Quantification"
TedSim,R,"10.1093/nar/gkac235, 10.1101/2021.06.21.449283","2022-04-12, NA",11,https://github.com/Galaxeee/TedSim,"A simulator that simulates the cell division events from the root cell to present-day cells, simultaneously generating the CRISPR/Cas9 genome editing lineage barcodes and scRNA-seq data",'-,"Dimensionality Reduction, Simulation, Visualisation"
TFvelo,Python,"10.1038/s41467-024-45661-w, 10.1101/2023.07.12.548785","2024-02-15, NA",11,https://github.com/xiaoyeye/TFvelo,"TFvelo: gene regulation inspired RNA velocity estimation",'-,"Ordering, Visualisation"
topslam,Python,10.1101/057778,NA,11,https://github.com/mzwiessele/topslam,"Extracting and using probabilistic Waddington's landscape recreation from single cell gene expression measurements.",BSD-3-Clause,Ordering
XenoCell,Python,"10.1101/679183, 10.1186/s12920-021-00872-8","NA, 2021-01-29",11,https://gitlab.com/XenoCell/XenoCell,"In single-cell experiment performed in the presence of two organisms, such as xenograft experiment, XenoCell allows to extract cellular barcodes that are specific to one of the two organisms.",MIT,"Quality Control, Quantification"
BRAPeS,Python,"10.1101/389999, 10.26508/lsa.201900371","NA, 2019-08-26",10,https://github.com/YosefLab/BRAPeS,"BRAPeS (BCR Reconstruction Algorithm for Paired-End Single-cell), software for reconstruction of B cell receptors (BCR) using short, paired-end single-cell RNA-sequencing.",Custom,"Alignment, Immune"
Chord,R,"10.1038/s42003-022-03476-9, 10.1101/2021.05.07.442884","2022-05-30, NA",10,https://github.com/13308204545/Chord,"Remove single cells Doublets by integrating tools",MIT,"Dimensionality Reduction, Quality Control"
DTFLOW,Python,"10.1016/j.gpb.2020.08.003, 10.1101/2020.09.10.290973","2021-03, NA",10,https://github.com/statway/DTFLOW,"DTFLOW: inferring and visualizing dynamic cellular trajectories from single-cell data",'-,"Ordering, Visualisation"
eQTLsingle,R/Shell,"10.1016/j.gene.2022.146520, 10.1101/2021.06.10.447906","2022-06, NA",10,https://github.com/horsedayday/eQTLsingle,"eQTLsingle is an R package for discovering eQTLs only with single cell RNA-seq (scRNA-seq) data, without genomic data",'-,"Alignment, Quantification, Variants"
G2S3,MATLAB/R,"10.1101/2020.04.01.020586, 10.1371/journal.pcbi.1009029","NA, 2021-05-18",10,https://github.com/ZWang-Lab/G2S3,"G2S3: a Sparse and Smooth Signal of Gene Graph-based imputation method for scRNA-seq data",GPL-3.0,Imputation
